conversation_id,timestamp,message,author
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:30:43,Thank you.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:30:47,And your current insurance carrier says other.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:30:53,Who's your current carrier?,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:31:23,The current is [ORGANIZATION] [ORGANIZATION].,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:31:44,Okay.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:32:05,Okay.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:32:21,And how long have you been with [ORGANIZATION] [ORGANIZATION]?,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:33:51,More than [DURATION] [DURATION].,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:33:58,Okay.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:35:11,One of the guys one more than [DURATION] [DURATION] and the other one is about [DURATION] [DURATION].,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:35:48,Okay.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:36:18,All right.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:36:36,"Now to help my automated system try and find a carrier to help you try and beat the rates you're paying, do you have just an estimate of what you pay per [DURATION] or every [DURATION] [DURATION]?",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:37:17,One.,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:37:44,The one I'm most interested is the.,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:38:07,The one.,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:38:15,One is [MONEY_AMOUNT]. [MONEY_AMOUNT].,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:38:34,Okay. [DURATION] [DURATION].,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:38:45,Okay.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:39:55,Yeah.,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:40:32,All right.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:40:58,You can definitely do that.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:41:05,And your date of birth? [DATE_OF_BIRTH] [DATE_OF_BIRTH].,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:41:11,Thank you very much.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:41:21,"And in the past [DURATION] [DURATION], no DUIs, SR22s or at fault accidents.",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:41:32,Great.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:42:15,Nope.,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:42:39,Wonderful.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:42:55,And have you ever honorably served in [ORGANIZATION] [ORGANIZATION] [ORGANIZATION]?,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:43:52,Never.,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:44:57,"All right, thank you, sir.",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:45:12,Thank you so much.,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:45:42,That's all the information I need.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:46:01,My system is searching for your best match.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:46:24,Need to read you a short disclosure about text messaging.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:46:39,"Also, while your consent is not required to receive a quote, may we have your permission to send you automated text messages to this number to ensure you're satisfied with the coverage options you receive and provide you with other quote options in the future?",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:47:33,No problem.,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:48:31,"All right, let's see who our [OCCUPATION] matches you with.",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:48:39,If we can get you some savings today.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:49:03,All right.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:49:13,"It's telling me right now all the [OCCUPATION] that are in your area are sticking out their customers, and I don't want to keep you on hold.",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:49:37,What I can do is send you a text message with a link that's going to.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:49:43,To give you that information online from all the different carriers we're affiliated with and then the prices and see which one would fit you the best.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:50:23,"Okay, no problem.",Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:51:14,"All right, thank you so much.",Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:51:38,You have a great day.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:52:41,Thank you.,Customer
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:53:21,Thank you.,Agent
2020-09-30-21-20-40_02e86c6e-ec5d-4fb1-9084-90bd8942cf69_v2YMIYLHtNSjvrNnUE6locHOgE8hEfoHwaEdVxven-tnivl4yKtj8aIQ,2025-03-21 16:53:28,Bye bye.,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:02:30,This call may be recorded for quality assurance.,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:02:47,"Hi, this is [PERSON_NAME] with [ORGANIZATION].",Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:03:15,It looks like you were connected to me to compare rates on auto insurance today.,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:03:30,Is that correct?,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:04:42,Yes.,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:05:00,Perfect.,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:05:21,"So in order to connect you to the right [OCCUPATION], I just need to quickly verify some of your information.",Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:05:26,"May I please have your first and last name? [PERSON_NAME] [PERSON_NAME]. [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME], [PERSON_NAME] [PERSON_NAME]. [PERSON_NAME] [PERSON_NAME], [PERSON_NAME] [PERSON_NAME].",Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:06:47,No. [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME] [PERSON_NAME].,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:06:52,"Thank you so much, [PERSON_NAME].",Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:07:41,Thank you.,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:07:54,Yeah.,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:08:37,And make.,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:08:50,May I please have your zip code? [LOCATION].,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:08:55,And you're in [LOCATION] [LOCATION].,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:09:21,"And, Mr. [PERSON_NAME], who is your current auto insurance provider? [ORGANIZATION].",Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:09:31,Okay.,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:09:51,And how long have you been insured with them?,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:11:13,Yes.,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:11:40,Been [DURATION] [DURATION].,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:12:28,And how much do you currently pay per [DURATION] for your insurance?,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:13:36,I don't know.,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:13:44,"When the bill comes, I pay it.",Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:13:49,I don't know what it is.,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:15:16,"No problem. [PERSON_NAME], do you own your own home?",Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:15:31,"Yes, I do.",Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:15:39,And would you be interested in saving money by bundling a home and auto insurance policy today?,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:16:56,Yes.,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:17:01,If you could.,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:17:17,"Yes, I would.",Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:18:12,"Okay, Perfect.",Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:18:25,"And can you please confirm your date of birth? [DATE_OF_BIRTH] [DATE_OF_BIRTH], [DATE_OF_BIRTH]. [DATE_OF_BIRTH] [DATE_OF_BIRTH], [DATE_OF_BIRTH].",Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:18:28,Yes.,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:19:14,"Okay, perfect.",Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:19:28,Thank you so much.,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:19:31,"And, [PERSON_NAME], in the past [DURATION] [DURATION], have you had any DUIs, SR20?",Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:20:51,No. Or accidents?,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:21:25,No. Perfect.,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:21:32,We need more drivers like you on the road.,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:22:49,Okay.,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:23:58,And are you seeking coverage above the state minimum requirement?,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:24:39,What?,Customer
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:24:55,Are you seeking coverage above the.,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:25:02,"Okay, so each state has a minimum limit for coverage.",Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:25:09,Are you looking for more coverage?,Agent
2020-09-18-15-48-18_4a9b11bf-5352-4250-a69f-32510e86fb5e_v2JWbAWQbEHNrGjlJGMx7zqEVpVG5ae_tb69xwO1rRyC8m8TddgJNYCw,2025-07-26 16:25:46,"Well, I don't know.",Customer
